iso3,name,annee_source,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,source_onglet,figure_cause,figure_category,description,figures,figures_rounded,country,sex,cause,0_4,5_11,12_17,18_59,60,title_global_internal_displacement_database_gidd,source_fichier,domaine
,,,,,,,README,,,,,,,,,,,,,,Age_5_11: Represents children aged 5 to 11 years.,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,Age_12_17: Represents adolescents aged 12 to 17 years.,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,Age_18_59: Represents adults aged 18 to 59 years.,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,Age_60_plus: Represents the population aged 60 years and older.,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,HISTORICAL DATA REVISIONS AND CORRECTIONS,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,The description of our methodology is available at https://www.internal-displacement.org/monitoring-tools,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,"As part of our ongoing commitment to providing accurate and reliable internal displacement data, the Internal Displacement Monitoring Centre (IDMC) has released updated figures for several countries and years where data was previously unavailable or required corrections. These revisions, which result from a comprehensive methodological review, address discrepancies in earlier figures published in the Global Internal Displacement Database (GIDD) and reflect our dedication to upholding the highest standards of data quality and reliability. Our team of experts rigorously reviewed and validated the new figures to ensure they meet IDMC’s stringent data requirements. For questions or further information about these updates, please contact us at ch.datainfo@idmc.ch.",IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,FIGURES REVIEWED IN JANUARY 2025,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,"All figures have undergone thorough expert validation to ensure consistency with IDMC’s quality requirements. A detailed account of the changes and the analytical processes underpinning them is provided in Tab 2_Context_Displacement_data, which contains a full summary of the revisions conducted by IDMC experts. For further information or inquiries, please contact us at ch.datainfo@idmc.ch.",IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,ISO3,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BFA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BDI,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,COD,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,GRC,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,KGZ,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,KGZ,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,LSO,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,MLI,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,MEX,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,MAR,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,MAR,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,MOZ,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,NAM,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,NAM,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PHL,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,ESP,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,ESP,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,ESP,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,UGA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,UGA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,UGA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,UGA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,USA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,FIGURES REVIEWED IN MAY 2025,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,"All figures have undergone thorough expert validation to ensure consistency with IDMC’s quality requirements. A detailed account of the changes and the analytical processes underpinning them is provided in Tab 2_Context_Displacement_data, which contains a full summary of the revisions conducted by IDMC experts. For further information or inquiries, please contact us at ch.datainfo@idmc.ch.",IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,ISO3,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PRI,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,ESP,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PAK,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PAK,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,ESP,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PNG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PNG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PRI,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BGD,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BGD,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PAK,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PAK,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PAK,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PNG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PNG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BGD,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BGD,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BGD,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BDI,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,UGA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PAK,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,COL,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PNG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,TUR,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,MDG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,LKA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PHL,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,GEO,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PAK,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,COL,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PNG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IDN,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,TUR,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PSE,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PSE,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,MDG,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,IND,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,KAZ,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,LKA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,BIH,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PER,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,KGZ,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PHL,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,PHL,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,THA,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,GEO,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
,,,,,,,README,,,,,,,,,,,,,,SLE,IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,pdi
